rank,image_url,current_filename,suggested_filename,pages_count,pages_sample,scope,decorative,best_current_alt,suggested_alt,priority_reasons,recommended_action
203,https://brushonblock.com/cdn/shop/products/SPF-50-Brush-LS-4_af53c5d5-d5a6-41f7-afcf-b70a8d099fe5.png,SPF-50-Brush-LS-4_af53c5d5-d5a6-41f7-afcf-b70a8d099fe5.png,brush-on-block-spf-50-50-duo---model-3.png,1,https://brushonblock.com/products/brush-on-block-spf-50-50-duo,product,no,Brush On Block SPF 50-50 Duo - Model 3,Brush On Block SPF 50-50 Duo - Model 3,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
204,https://cdn.shopify.com/s/files/1/0408/3481/files/Bounce_Butter_Blog_image_600x600.png,Bounce_Butter_Blog_image_600x600.png,brush-on-block-bounce-butter-made-exclusively-for-the-body.png,1,https://brushonblock.com/blogs/news/bounce-butter-our-first-product-made-exclusively-for-the-body,blog,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
205,https://cdn.shopify.com/s/files/1/0408/3481/files/IMG_0124_480x480.jpg,IMG_0124_480x480.jpg,brush-on-block-bob-kids-for-young-athletes.jpg,1,https://brushonblock.com/blogs/news/sun-protection-and-fall-sports,blog,no,BOB Kids for young athletes,BOB Kids for young athletes,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
206,https://cdn.shopify.com/s/files/1/0408/3481/files/IMG_1572_large.jpg,IMG_1572_large.jpg,brush-on-block-ask-a-dermatologist-sun-care-qa-with-dr-lauren.jpg,1,https://brushonblock.com/blogs/news/ask-a-dermatologist-sun-care-q-a-with-dr-lauren-boudreaux,blog,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
207,https://cdn.shopify.com/s/files/1/0408/3481/files/IMG_1589_copy_large.jpg,IMG_1589_copy_large.jpg,brush-on-block-ask-a-dermatologist-sun-care-qa-with-dr-lauren.jpg,1,https://brushonblock.com/blogs/news/ask-a-dermatologist-sun-care-q-a-with-dr-lauren-boudreaux,blog,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
208,https://cdn.shopify.com/s/files/1/0408/3481/files/IMG_2581_240x240.png,IMG_2581_240x240.png,brush-on-block-photo-of-uv-index-of-8.png,1,https://brushonblock.com/blogs/news/what-does-the-uv-index-mean,blog,no,Photo of UV Index of 8,Photo of UV Index of 8,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
209,https://cdn.shopify.com/s/files/1/0408/3481/files/IMG_2586_240x240.png,IMG_2586_240x240.png,brush-on-block-photo-of-uv-index-of-4.png,1,https://brushonblock.com/blogs/news/what-does-the-uv-index-mean,blog,no,photo of UV Index of 4,photo of UV Index of 4,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
210,https://cdn.shopify.com/s/files/1/0408/3481/files/Image_96d6dc3e-84c1-49b4-8a29-a7cdd1bd716b_small.jpg,Image_96d6dc3e-84c1-49b4-8a29-a7cdd1bd716b_small.jpg,brush-on-block-woman-wearing-touch-of-tan.jpg,1,https://brushonblock.com/blogs/news/translucent-or-touch-of-tan,blog,no,Woman wearing Brush On Block Touch of Tan,Woman wearing Brush On Block Touch of Tan,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
211,https://brushonblock.com/cdn/shop/files/niacinimide.jpg,niacinimide.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,7,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-refill; https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,reused multiple pages,"Ensure alt="""" (decorative). No rename needed."
212,https://brushonblock.com/cdn/shop/files/pout-tool-pink-product.jpg,pout-tool-pink-product.jpg,brush-on-block-pout-prep-lip-exfoliator.jpg,4,https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail; https://brushonblock.com/collections/accessories-1; https://brushonblock.com/collections/lip-oils,product,no,Pout Prep Lip Exfoliator,Pout Prep Lip Exfoliator,reused multiple pages,Optional: re-upload with SEO filename; update content references.
213,https://brushonblock.com/cdn/shop/files/spf-30-translucent-powder-spill.jpg,spf-30-translucent-powder-spill.jpg,brush-on-block-spf-30-translucent---powder.jpg,4,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-refill; https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,no,Brush On Block SPF 30 Translucent - Powder,Brush On Block SPF 30 Translucent - Powder,reused multiple pages,Optional: re-upload with SEO filename; update content references.
214,https://brushonblock.com/cdn/shop/articles/earth-day-blog_931d1521-9ebd-44cf-86e9-295303a87e40.jpg,earth-day-blog_931d1521-9ebd-44cf-86e9-295303a87e40.jpg,brush-on-block-earth-day-our-power-our-planet.jpg,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet; https://brushonblock.com/blogs/news/refilling-is-rewarding,blog,no,"Earth Day: Our Power, Our Planet","Earth Day: Our Power, Our Planet","reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
215,https://brushonblock.com/cdn/shop/articles/kids_skin_health_1.png,kids_skin_health_1.png,brush-on-block-sun-protection-for-kids-a-dermatologist-moms-guide.png,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer; https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky,blog,no,Sun Protection for Kids: A Dermatologist Mom's Guide,Sun Protection for Kids: A Dermatologist Mom's Guide,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
216,https://brushonblock.com/cdn/shop/articles/survivor_story_cover_aefa39ad-2183-4eaa-ae34-a1b615ac9743.jpg,survivor_story_cover_aefa39ad-2183-4eaa-ae34-a1b615ac9743.jpg,brush-on-block-skin-cancer-awareness-profile-katie-ostrovsky.jpg,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky; https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide,blog,no,Skin Cancer Awareness Profile: Katie Ostrovsky,Skin Cancer Awareness Profile: Katie Ostrovsky,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
217,https://brushonblock.com/cdn/shop/files/face-oil_model1.jpg,face-oil_model1.jpg,brush-on-block-nobodys-perfect-daily-face-oil---model.jpg,3,https://brushonblock.com/collections/all; https://brushonblock.com/collections/lotions-moisturizers; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil,product,no,Nobody's Perfect Daily Face Oil - Model,Nobody's Perfect Daily Face Oil - Model,underscores in name,Optional: re-upload with SEO filename; update content references.
218,https://brushonblock.com/cdn/shop/files/kids_brush_lower_2.png,kids_brush_lower_2.png,brush-on-block-bob-kids-spf-30-brush-on-mineral-sunscreen.png,3,https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
219,https://brushonblock.com/cdn/shop/files/lip_oils_lower_3_e1d10727-7b7e-437a-8af5-243aa1eb2e03.jpg,lip_oils_lower_3_e1d10727-7b7e-437a-8af5-243aa1eb2e03.jpg,brush-on-block-sun-shine-lip-oil-shades.jpg,3,https://brushonblock.com/products/full-face-kit-spf-30; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-duo,product,no,Sun Shine Lip Oil Shades,Sun Shine Lip Oil Shades,underscores in name,Optional: re-upload with SEO filename; update content references.
220,https://brushonblock.com/cdn/shop/files/lip_oils_lower_4.jpg,lip_oils_lower_4.jpg,brush-on-block-sun-shine-spf-30-protective-lip-oil-duo.jpg,3,https://brushonblock.com/products/full-face-kit-spf-30; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-duo,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
221,https://brushonblock.com/cdn/shop/files/pout_tool_model.jpg,pout_tool_model.jpg,brush-on-block-pout-prep-tool-for-lips---model.jpg,3,https://brushonblock.com/collections/accessories-1; https://brushonblock.com/collections/lip-oils; https://brushonblock.com/products/pout-prep-tool,product,no,Pout Prep Tool for Lips - Model,Pout Prep Tool for Lips - Model,underscores in name,Optional: re-upload with SEO filename; update content references.
222,https://brushonblock.com/cdn/shop/files/preview_images/hqdefault_2752a702-9af1-4158-95fb-f6209dcb5066.jpg,hqdefault_2752a702-9af1-4158-95fb-f6209dcb5066.jpg,brush-on-block-spf-30---video-2.jpg,3,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2; https://brushonblock.com/products/brush-on-block-tinted,product,no,Brush On Block SPF 30 - Video 2,Brush On Block SPF 30 - Video 2,underscores in name,Optional: re-upload with SEO filename; update content references.
223,https://brushonblock.com/cdn/shop/files/preview_images/hqdefault_7c86385a-1c7a-483c-b042-a75a7ec035ba.jpg,hqdefault_7c86385a-1c7a-483c-b042-a75a7ec035ba.jpg,brush-on-block-spf-30---video.jpg,3,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2; https://brushonblock.com/products/brush-on-block-tinted,product,no,Brush On Block SPF 30 - Video,Brush On Block SPF 30 - Video,underscores in name,Optional: re-upload with SEO filename; update content references.
224,https://brushonblock.com/cdn/shop/files/B07RRFG7CN.PT04.png,B07RRFG7CN.PT04.png,brush-on-block-bob-kids-how-it-works.png,2,https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,BOB KIDS how it works,BOB KIDS how it works,uppercase in name,Optional: re-upload with SEO filename; update content references.
225,https://brushonblock.com/cdn/shop/files/BOBKIDSspray2.jpg,BOBKIDSspray2.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen--.jpg,2,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,BOB KIDS SPF 50 Spray On Lotion Sunscreen - spray example,BOB KIDS SPF 50 Spray On Lotion Sunscreen - spray example,uppercase in name,Optional: re-upload with SEO filename; update content references.
226,https://brushonblock.com/cdn/shop/files/BOBKIDSspraysplat.jpg,BOBKIDSspraysplat.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen--.jpg,2,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,BOB KIDS SPF 50 Spray On Lotion Sunscreen - spritz example,BOB KIDS SPF 50 Spray On Lotion Sunscreen - spritz example,uppercase in name,Optional: re-upload with SEO filename; update content references.
227,https://brushonblock.com/cdn/shop/files/SOLspray2.jpg,SOLspray2.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen---spraying.jpg,2,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/spf-essentials-kit,product,no,SOL SPF 50 Spray On Lotion Sunscreen - Spraying,SOL SPF 50 Spray On Lotion Sunscreen - Spraying,uppercase in name,Optional: re-upload with SEO filename; update content references.
228,https://brushonblock.com/cdn/shop/files/SOLspraysplat.jpg,SOLspraysplat.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen---sample.jpg,2,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/spf-essentials-kit,product,no,SOL SPF 50 Spray On Lotion Sunscreen - sample spritz,SOL SPF 50 Spray On Lotion Sunscreen - sample spritz,uppercase in name,Optional: re-upload with SEO filename; update content references.
229,https://brushonblock.com/cdn/shop/files/Sheer-Genius-Duo-model-2.jpg,Sheer-Genius-Duo-model-2.jpg,brush-on-block-sheer-genius.jpg,2,https://brushonblock.com/products/brush-on-block-spf-50-50-duo; https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,no,Sheer Genius,Sheer Genius,uppercase in name,Optional: re-upload with SEO filename; update content references.
230,https://brushonblock.com/cdn/shop/files/lip_oils_lower_1.jpg,lip_oils_lower_1.jpg,brush-on-block-sun-shine-spf-30-protective-lip-oil.jpg,2,https://brushonblock.com/products/full-face-kit-spf-30; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
231,https://brushonblock.com/cdn/shop/files/preview_images/0d583169f4464ceba7b88b12131bc9bc.thumbnail.0000000000_1024x.jpg,0d583169f4464ceba7b88b12131bc9bc.thumbnail.0000000000_1024x.jpg,brush-on-block-refilling-the-brush.jpg,2,https://brushonblock.com/products/brush-on-block-refill; https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,no,Refilling the Brush On Block brush,Refilling the Brush On Block brush,underscores in name,Optional: re-upload with SEO filename; update content references.
232,https://brushonblock.com/cdn/shop/files/preview_images/0ea0fecfdf8748a6af973f43cdad491b.thumbnail.0000000000_1024x.jpg,0ea0fecfdf8748a6af973f43cdad491b.thumbnail.0000000000_1024x.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,2,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set; https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
233,https://brushonblock.com/cdn/shop/files/preview_images/6440ee2c163947adbf0b75ca7ade9f7a.thumbnail.0000000000_1024x.jpg,6440ee2c163947adbf0b75ca7ade9f7a.thumbnail.0000000000_1024x.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,2,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
234,https://brushonblock.com/cdn/shop/files/preview_images/9db454c8d5bb4e4b9d6fd1e453184930.thumbnail.0000000000_1024x.jpg,9db454c8d5bb4e4b9d6fd1e453184930.thumbnail.0000000000_1024x.jpg,brush-on-block-how-to-apply-bob-kids.jpg,2,https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-spf-30,product,no,How to apply BOB KIDS,How to apply BOB KIDS,underscores in name,Optional: re-upload with SEO filename; update content references.
235,https://brushonblock.com/cdn/shop/files/preview_images/hqdefault_28fb0cf4-1d89-42eb-a641-28c0779a103d.jpg,hqdefault_28fb0cf4-1d89-42eb-a641-28c0779a103d.jpg,brush-on-block-spf-30-brush-refill-set.jpg,2,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set; https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
236,https://brushonblock.com/cdn/shop/files/preview_images/hqdefault_fc925f55-9b3c-48fa-a18e-43147eed6af5.jpg,hqdefault_fc925f55-9b3c-48fa-a18e-43147eed6af5.jpg,brush-on-block-bob-kids-video.jpg,2,https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,BOB Kids Video,BOB Kids Video,underscores in name,Optional: re-upload with SEO filename; update content references.
237,https://brushonblock.com/cdn/shop/files/spf-30-TOT-powder-spill.jpg,spf-30-TOT-powder-spill.jpg,brush-on-block-spf-30-touch-of-tan---powder.jpg,2,https://brushonblock.com/products/brush-on-block-tinted; https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,no,Brush On Block SPF 30 Touch of Tan  - Powder,Brush On Block SPF 30 Touch of Tan  - Powder,uppercase in name,Optional: re-upload with SEO filename; update content references.
238,https://brushonblock.com/cdn/shop/files/spray_lower_2.jpg,spray_lower_2.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen.jpg,2,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/spf-essentials-kit,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
239,https://brushonblock.com/cdn/shop/files/tan_front_f1721837-3064-48ff-94e5-338556f4ff87.jpg,tan_front_f1721837-3064-48ff-94e5-338556f4ff87.jpg,brush-on-block-see-you-out-there-hat.jpg,2,https://brushonblock.com/collections/accessories-1; https://brushonblock.com/products/see-you-out-there-hat,product,no,See You Out There Hat,See You Out There Hat,underscores in name,Optional: re-upload with SEO filename; update content references.
240,https://brushonblock.com/cdn/shop/products/SPF-50-Brush-LS-3.png,SPF-50-Brush-LS-3.png,brush-on-block-spf-50---model-3.png,2,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,no,Brush On Block SPF 50 - Model 3,Brush On Block SPF 50 - Model 3,uppercase in name,Optional: re-upload with SEO filename; update content references.
241,https://brushonblock.com/cdn/shop/files/50_refill_lower_1.jpg,50_refill_lower_1.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,1,https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
242,https://brushonblock.com/cdn/shop/files/50_refill_lower_2.jpg,50_refill_lower_2.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,1,https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
243,https://brushonblock.com/cdn/shop/files/50_refill_lower_3.jpg,50_refill_lower_3.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,1,https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
244,https://brushonblock.com/cdn/shop/files/50_refill_lower_4.jpg,50_refill_lower_4.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,1,https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,underscores in name,"Ensure alt="""" (decorative). No rename needed."
245,https://brushonblock.com/cdn/shop/files/BOBKIDSspraymodel1.jpg,BOBKIDSspraymodel1.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen--.jpg,1,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product,no,BOB KIDS SPF 50 Spray On Lotion Sunscreen - Mom and Child 2,BOB KIDS SPF 50 Spray On Lotion Sunscreen - Mom and Child 2,uppercase in name,Optional: re-upload with SEO filename; update content references.
246,https://brushonblock.com/cdn/shop/files/Bounce-Butter-lower-1.jpg,Bounce-Butter-lower-1.jpg,brush-on-block-bounce-butter-spf-30-mineral-sunscreen-moisturizing-body-mousse.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,yes,,,uppercase in name,"Ensure alt="""" (decorative). No rename needed."
247,https://brushonblock.com/cdn/shop/files/Bounce-Butter-lower-2.jpg,Bounce-Butter-lower-2.jpg,brush-on-block-bounce-butter-spf-30-mineral-sunscreen-moisturizing-body-mousse.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,yes,,,uppercase in name,"Ensure alt="""" (decorative). No rename needed."
248,https://brushonblock.com/cdn/shop/files/Bounce-Butter-lower-3.jpg,Bounce-Butter-lower-3.jpg,brush-on-block-bounce-butter-spf-30-mineral-sunscreen-moisturizing-body-mousse.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,yes,,,uppercase in name,"Ensure alt="""" (decorative). No rename needed."
249,https://brushonblock.com/cdn/shop/files/Bounce-Butter-lower-4.jpg,Bounce-Butter-lower-4.jpg,brush-on-block-bounce-butter-spf-30-mineral-sunscreen-moisturizing-body-mousse.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,yes,,,uppercase in name,"Ensure alt="""" (decorative). No rename needed."
250,https://brushonblock.com/cdn/shop/files/Full-Face-Kit-SPF-30-model-1.jpg,Full-Face-Kit-SPF-30-model-1.jpg,brush-on-block-full-face-kit-spf-30.jpg,1,https://brushonblock.com/products/full-face-kit-spf-30,product,no,Full Face Kit SPF 30,Full Face Kit SPF 30,uppercase in name,Optional: re-upload with SEO filename; update content references.
